Kecamatan,Kelurahan,Belum Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian ,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Lainnya
Regol,Ancol,1817,343,93,3986,1,-,5,2658,77,250,2473
Antapani,Antapani Kidul,4374,1650,354,7630,5,1,24,5384,182,1112,4610
Antapani,Antapani Kulon,1984,602,119,3382,5,-,4,2249,52,320,2196
Antapani,Antapani Tengah,4381,1508,329,7296,13,-,6,4671,102,1038,4337
Antapani,Antapani Wetan,3567,961,192,5776,10,1,3,4106,137,457,3687
Cicendo,Arjuna,2166,267,128,4699,1,-,10,2532,52,223,3058
Babakan Ciparay,Babakan,6009,235,117,10197,8,-,15,5786,44,118,7724
Bojongloa Kaler,Babakan Asih,3110,181,110,5626,6,-,5,3320,43,112,3937
Sumur Bandung,Babakan Ciamis,1387,334,38,2758,-,-,65,1851,19,90,1703
Babakan Ciparay,Babakan Ciparay,6206,365,137,11046,10,-,19,6542,47,142,8411
Cinambo,Babakan Penghulu,1217,227,58,2526,10,-,2,1488,24,66,1669
Kiaracondong,Babakan Surabaya,4112,403,109,6665,11,-,4,3954,41,208,4727
Bojongloa Kaler,Babakan Tarogong,5606,317,131,9894,6,-,12,5716,44,130,7110
Kiaracondong,Babakansari,7671,1053,238,12711,11,1,2,7739,86,618,8690
Regol,Balonggede,1288,153,50,3113,-,-,2,1689,20,72,1897
Bandung Kidul,Batununggal,3304,635,138,6182,6,-,6,4409,83,388,4068
Batununggal,Binong,3277,382,109,6335,6,-,-,4073,18,227,4377
Sumur Bandung,Braga,996,76,27,2222,1,-,1,1280,18,47,1437
Lengkong,Burangrang,1615,253,67,3625,4,-,2,2097,29,172,2269
Andir,Campaka,3231,518,158,5940,3,-,14,4089,49,241,4040
Bandung Kulon,Caringin,1800,165,87,3151,2,-,6,1911,26,151,2078
Regol,Ciateul,1076,353,58,2641,-,-,6,1758,27,139,1531
Astana Anyar,Cibadak,2208,117,96,4862,4,-,7,2738,20,92,3238
Bojongloa Kidul,Cibaduyut,2367,93,27,4175,7,1,2,2839,14,31,3022
Bojongloa Kidul,Cibaduyut Kidul,1858,140,70,2917,3,-,5,1952,18,74,2139
Bojongloa Kidul,Cibaduyut Wetan,1604,67,62,2658,3,1,3,1791,23,27,1931
Batununggal,Cibangkong,2992,443,124,6407,2,-,2,4082,34,280,4093
Bandung Kulon,Cibuntu,3507,225,164,6366,8,-,10,3870,24,121,4131
Cibeunying Kidul,Cicadas,3129,1103,133,4765,4,-,-,3372,61,232,3467
Kiaracondong,Cicaheum,3340,437,127,5624,4,3,3,3639,39,175,3964
Cibeunying Kaler,Cigadung,5272,1103,350,10406,8,2,4,6919,131,647,6806
Ujung Berung,Cigending,3269,653,175,5042,13,-,7,3531,47,313,3555
Regol,Cigereleng,1924,380,99,4203,1,-,10,2557,48,257,2603
Bandung Kulon,Cigondewah Kaler,3995,67,63,6595,23,1,18,4091,14,28,4670
Bandung Kulon,Cigondewah Kidul,1700,32,48,3071,8,1,10,1886,18,16,2315
Bandung Kulon,Cigondewah Rahayu,1944,46,42,3444,3,1,2,2076,9,23,2663
Bandung Wetan,Cihapit,560,191,69,1357,1,-,34,869,84,181,816
