Urut Nasional,Urut Provinsi,Rerata,NPSN,Sekolah,Provinsi,Kota/Kab.,Jenis
1,1,"601,683",20109933,SMAN UNGGULAN M.H. THAMRIN,DKI Jakarta,Kota Jakarta Timur,SMA
2,1,"599,654",20623314,MAN INSAN CENDEKIA SERPONG,Banten,Kota Tangerang Selatan,MA
3,1,"598,523",10263538,SMAS UNGGUL DEL,Sumatera Utara,Kab. Toba Samosir,SMA
4,2,"594,865",20102568,SMAN 8 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
5,1,"594,605",20532248,SMAN 5 SURABAYA,Jawa Timur,Kota Surabaya,SMA
6,3,"594,437",20101306,SMAS 1 KRISTEN BPK PENABUR,DKI Jakarta,Kota Jakarta Barat,SMA
7,1,"592,52",20219730,SMAS BPK 1 PENABUR BANDUNG,Jawa Barat,Kota Bandung,SMA
8,4,"589,811",20104413,SMAS DIAN HARAPAN,DKI Jakarta,Kota Jakarta Barat,SMA
9,1,"588,002",20403174,SMAN 1 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMA
10,2,"587,81",20532145,SMA KATOLIK ST.LOUIS 1,Jawa Timur,Kota Surabaya,SMA
11,1,"586,834",30315142,SMAN BANUA KAL SEL,Kalimantan Selatan,Kab. Banjar,SMA
12,2,"585,96",20403178,SMAN 3 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMA
13,5,"585,437",20107319,SMAN 28 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
14,6,"585,048",20103301,SMAN 81 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
15,3,"584,729",20532136,SMAS KRISTEN PETRA 2 SURABAYA,Jawa Timur,Kota Surabaya,SMA
16,7,"584,684",20100170,SMAS KANISIUS JAKARTA,DKI Jakarta,Kota Jakarta Pusat,SMA
17,2,"584,01",20613520,SMAS SANTA LAURENSIA,Banten,Kota Tangerang Selatan,SMA
18,3,"583,676",20403161,SMAN 8 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMA
19,2,"582,568",20219731,SMAS BINA BHAKTI 1,Jawa Barat,Kota Bandung,SMA
20,8,"582,07",20110335,SMAS KRISTEN 6 PENABUR,DKI Jakarta,Kota Jakarta Utara,SMA
21,9,"581,589",20100187,SMAS KRISTEN 3 PENABUR JAKARTA,DKI Jakarta,Kota Jakarta Pusat,SMA
22,10,"581,585",20100601,SMAS KRISTEN 5 BPK PENABUR,DKI Jakarta,Kota Jakarta Utara,SMA
23,3,"581,123",20219263,SMAS ALLOYSIUS 1,Jawa Barat,Kota Bandung,SMA
24,3,"580,709",20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG,Banten,Kab. Tangerang,SMA
25,11,"580,44",20108383,SMAS SANTA URSULA,DKI Jakarta,Kota Jakarta Pusat,SMA
26,12,"580,165",20109467,SMAS KRISTEN IPEKA PURI INDAH,DKI Jakarta,Kota Jakarta Barat,SMA
27,4,"579,837",20603376,SMAS SANTA URSULA BSD,Banten,Kota Tangerang Selatan,SMA
28,13,579,20107313,SMA LABSCHOOL KEBAYORAN,DKI Jakarta,Kota Jakarta Selatan,SMA
29,14,"577,815",20102214,SMAN 34 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
30,5,"577,767",20616061,SMAS PAHOA,Banten,Kab. Tangerang,SMA
31,4,"577,078",20403177,SMAN 2 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMA
32,6,"576,357",20616291,SMAS ATHALIA,Banten,Kota Tangerang Selatan,SMA
33,1,"576,114",20328915,SMAS KOLESE LOYOLA,Jawa Tengah,Kota Semarang,SMA
34,2,"575,833",20328895,SMA NEGERI 03,Jawa Tengah,Kota Semarang,SMA
35,3,"575,671",20327966,SMAN 1 SURAKARTA,Jawa Tengah,Kota Surakarta,SMA
36,1,"575,538",60728785,MAN Insan Cendekia Gorontalo,Gorontalo,Kab. Bone Bolango,MA
37,4,"575,228",69895400,SMA BPK PENABUR HOLIS,Jawa Barat,Kota Bandung,SMA
38,7,"575,117",69787002,SMAK PENABUR KOTA TANGERANG,Banten,Kota Tangerang,SMA
39,5,"574,94",20220342,SMAN 1 BOGOR,Jawa Barat,Kota Bogor,SMA
40,4,"574,806",20533665,SMAN 3,Jawa Timur,Kota Malang,SMA
41,5,"574,582",20403171,SMAN 6 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMA
42,5,"574,527",20533654,SMAS K KOLESE ST YUSUP,Jawa Timur,Kota Malang,SMA
43,15,"574,511",20101622,SMAN 2 JAKARTA,DKI Jakarta,Kota Jakarta Barat,SMA
44,16,"573,89",20100199,SMAN 68 JAKARTA,DKI Jakarta,Kota Jakarta Pusat,SMA
45,4,"573,763",69941723,MAN INSAN CENDEKIA PEKALONGAN,Jawa Tengah,Kab. Pekalongan,MA
46,17,"572,779",20101588,SMAN 78 JAKARTA,DKI Jakarta,Kota Jakarta Barat,SMA
47,6,"572,747",20400405,SMA NEGERI 1 BANTUL,DI Yogyakarta,Kab. Bantul,SMA
48,18,"572,583",20107383,SMAS KRISTEN IPEKA SUNTER,DKI Jakarta,Kota Jakarta Utara,SMA
49,6,"572,43",20219327,SMAN 3 BANDUNG,Jawa Barat,Kota Bandung,SMA
50,19,"572,404",20101305,SMAS 4 KRISTEN PENABUR,DKI Jakarta,Kota Jakarta Barat,SMA
51,7,"572,032",20403162,SMAN 9 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMA
52,6,"571,169",20532230,SMAN 2 SURABAYA,Jawa Timur,Kota Surabaya,SMA
53,7,"571,101",20219266,SMAS ST ANGELA,Jawa Barat,Kota Bandung,SMA
54,20,"571,055",20103307,SMAN 61 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
55,21,"570,644",20103314,SMAN 48 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
56,2,"570,339",10210848,SMAS SUTOMO 1,Sumatera Utara,Kota Medan,SMA
57,8,"569,568",20253810,SMAS DON BOSCO III,Jawa Barat,Kab. Bekasi,SMA
58,7,"569,392",20533660,SMAN 1,Jawa Timur,Kota Malang,SMA
59,1,"569,272",11002581,SMAS MAITREYAWIRA,Kepulauan Riau,Kota Batam,SMA
60,22,"569,183",20107299,SMAS GONZAGA JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
61,8,"569,116",20580050,MAN 2 KOTA MALANG,Jawa Timur,Kota Malang,MA
62,9,"568,997",20523844,SMAN 1 JEMBER,Jawa Timur,Kab. Jember,SMA
63,8,"568,948",20606507,SMAS UPH COLEGE,Banten,Kab. Tangerang,SMA
64,8,"568,833",20403180,SMAN 5 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMA
65,23,"568,783",20100603,SMAS KRISTEN YUSUF,DKI Jakarta,Kota Jakarta Utara,SMA
66,9,"568,477",20219728,SMAS BPK 2 PENABUR,Jawa Barat,Kota Bandung,SMA
67,9,"568,445",20606853,SMAN 1 TANGERANG,Banten,Kota Tangerang,SMA
68,24,"568,185",20104424,SMAS KRISTEN IPEKA TOMANG,DKI Jakarta,Kota Jakarta Barat,SMA
69,10,"568,181",20501706,SMAN 1 SIDOARJO,Jawa Timur,Kab. Sidoarjo,SMA
70,25,"568,055",20102218,SMAN 26 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
71,10,"567,88",20223020,SMAN 1 BEKASI,Jawa Barat,Kota Bekasi,SMA
